t_s,C_center,C_surface,C_mean,R_m
0.0,2.55,2.55,2.5500000000000003,0.02
1.0,2.55,2.5222464146008265,2.549830004591441,0.019999712315212966
2.0,2.55,2.5081264256064855,2.5496950825103557,0.019999454289368276
3.0,2.55,2.499108298587755,2.5495734658505658,0.01999921892996987
4.0,2.55,2.492250503503436,2.549457609490899,0.019999000919311897
5.0,2.55,2.4864831014720825,2.549344753359798,0.019998796230045163
6.0,2.55,2.4813815491017404,2.549233792470322,0.019998601798648354
7.0,2.55,2.476738806086762,2.549124182173508,0.01999841530165455
8.0,2.55,2.472452085355748,2.5490156472312266,0.019998235003406032
9.0,2.55,2.4684480995437443,2.548907989974723,0.019998059594475873
10.0,2.55,2.4646798767107803,2.5488010816461877,0.01999788808218557
11.0,2.55,2.461112180732627,2.5486948247212586,0.0199977197193465
12.0,2.55,2.457716796331615,2.5485891405878984,0.01999755393684992
13.0,2.55,2.4544716435349176,2.5484839670642256,0.019997390299501473
14.0,2.55,2.451359859262469,2.548379256013598,0.019997228474334525
15.0,2.55,2.4483674227619994,2.5482749670834712,0.019997068204849193
16.0,2.55,2.4454821436739245,2.548171065008939,0.019996909291483726
17.0,2.55,2.4426941108431515,2.548067520765497,0.019996751575366158
18.0,2.55,2.4399944257018915,2.547964308199958,0.019996594930130587
19.0,2.55,2.4373756192834297,2.5478614050905475,0.019996439252044657
20.0,2.55,2.434831042592247,2.5477587915250637,0.019996284457047313
21.0,2.55,2.4323556139301155,2.547656451930686,0.01999613047708026
22.0,2.55,2.429943910992767,2.5475543699023104,0.019995977254777836
23.0,2.55,2.4275922211867305,2.547452533749605,0.019995824741202987
24.0,2.55,2.4252960992380754,2.547350929868008,0.01999567289422217
25.0,2.55,2.4230524542476326,2.5472495484137614,0.019995521677350046
26.0,2.55,2.420857792489274,2.5471483784854856,0.019995371056354655
27.0,2.55,2.418709432450492,2.547047411479447,0.01999522100325325
28.0,2.55,2.4166046416182327,2.5469466386749926,0.019995071490381627
29.0,2.55,2.414541155506488,2.5468460527033994,0.01999492249550443
30.0,2.55,2.4125166190320217,2.5467456459645303,0.01999477399683911
31.0,2.55,2.4105292854880935,2.5466454126032767,0.019994625975720163
32.0,2.55,2.4085774552320984,2.546545346924755,0.019994478414474097
33.0,2.55,2.4066591289787245,2.546445442420569,0.01999433129672226
34.0,2.55,2.404773098127858,2.5463456948354977,0.019994184607280613
35.0,2.55,2.402917981256359,2.5462460994529827,0.0199940383316519
36.0,2.55,2.4010921556354012,2.546146650896234,0.01999389245727687
37.0,2.55,2.3992946372547914,2.546047345624938,0.01999374697125173
38.0,2.55,2.397524249293952,2.5459481795681262,0.01999360186077384
39.0,2.55,2.395779763952964,2.5458491485251415,0.019993457116327426
40.0,2.55,2.394060295293252,2.5457502493004838,0.019993312726912623
41.0,2.55,2.392364862076626,2.5456514784330255,0.019993168682086858
42.0,2.55,2.3906925315294933,2.545552832615773,0.019993024973716057
43.0,2.55,2.389042531891452,2.545454309030237,0.019992881592820054
44.0,2.55,2.3874139896741413,2.545355904561982,0.01999273853125364
45.0,2.55,2.3858061733287914,2.5452576165303946,0.019992595781311562
46.0,2.55,2.384218464885741,2.5451594426036337,0.019992453335734264
47.0,2.55,2.3826502728185464,2.5450613805373012,0.019992311187596822
48.0,2.55,2.381100857355529,2.544963427655204,0.019992169330091285
49.0,2.55,2.379569580976173,2.544865581595079,0.019992027756788818
50.0,2.55,2.378056014300316,2.5447678406238325,0.019991886461410837
51.0,2.55,2.3765596909621625,2.5446702029077923,0.019991745438225978
52.0,2.55,2.3750800174342652,2.5445726662412556,0.019991604681581263
53.0,2.55,2.3736164033433167,2.5444752284366734,0.019991464186078913
54.0,2.55,2.372168515472433,2.5443778880851826,0.01999132394619894
55.0,2.55,2.3707359510415174,2.5442806435783463,0.019991183957275963
56.0,2.55,2.3693182535355803,2.544183493150267,0.019991044214693606
57.0,2.55,2.367914922825646,2.544086434908512,0.01999090471410132
58.0,2.55,2.3665256561151247,2.5439894675703756,0.019990765450542257
59.0,2.55,2.3651501011175,2.543892589708664,0.019990626420256674
60.0,2.55,2.3637879442867833,2.5437958000422323,0.019990487619474927
61.0,2.55,2.3624388529696576,2.5436990972486178,0.01999034904461696
62.0,2.55,2.361102426268091,2.5436024797235555,0.019990210691453857
63.0,2.55,2.3597783010812865,2.5435059460110994,0.01999007255633513
64.0,2.55,2.3584661836964416,2.5434094948950445,0.0199899346362825
65.0,2.55,2.357166028290503,2.543313126015656,0.019989796928197134
66.0,2.55,2.355877419845429,2.543216837737612,0.019989659428838548
67.0,2.55,2.3546000789153725,2.5431206288937687,0.019989522134489745
68.0,2.55,2.353333841926409,2.5430244987138533,0.019989385042292612
69.0,2.55,2.3520783999216723,2.542928445929645,0.019989248149180922
70.0,2.55,2.3508334915541154,2.542832469435992,0.0199891114521451
71.0,2.55,2.349598955840421,2.542736568477705,0.019988974948266364
72.0,2.55,2.3483745259699322,2.5426407419305788,0.019988838634828584
73.0,2.55,2.3471599573662796,2.5425449887479394,0.0199887025092552
74.0,2.55,2.3459551015010898,2.5424493082263155,0.019988566568925132
75.0,2.55,2.3447597460763796,2.5423536994340545,0.019988430811376547
76.0,2.55,2.3435736595884693,2.5422581613707873,0.019988295234245255
77.0,2.55,2.342396725641263,2.542162693457409,0.019988159835261664
78.0,2.55,2.341228779174322,2.5420672949359937,0.019988024612212902
79.0,2.55,2.3400695811374392,2.5419719647767396,0.019987889562753967
80.0,2.55,2.3389189376463446,2.541876702115806,0.019987754684570744
81.0,2.55,2.3377766812042986,2.5417815061875286,0.019987619976398422
82.0,2.55,2.336642808384348,2.5416863768366533,0.019987485435729764
83.0,2.55,2.3355170479539074,2.541591312911571,0.01998735106027494
84.0,2.55,2.3343992309042654,2.5414963136409896,0.019987216847860124
85.0,2.55,2.3332891882267095,2.5414013782536196,0.019987082796844743
86.0,2.55,2.332186885250131,2.541306506484858,0.01998694890619469
87.0,2.55,2.33109218114248,2.54121169766969,0.019986815173234015
88.0,2.55,2.33000488809604,2.5411169509659195,0.01998668159598768
89.0,2.55,2.3289248604612887,2.54102226569036,0.01998654817248038
90.0,2.55,2.3278519852312654,2.540927641285482,0.019986414902337258
91.0,2.55,2.3267862444716676,2.5408330775597334,0.0199862817833831
92.0,2.55,2.325727439573281,2.5407385736260624,0.019986148813626658
93.0,2.55,2.324675443738142,2.5406441288738515,0.01998601599130998
94.0,2.55,2.3236301301682856,2.540549742692483,0.019985883315024187
95.0,2.55,2.322591543288201,2.540455415149025,0.019985750784044548
96.0,2.55,2.3215595132344324,2.540361145462409,0.0199856183964375
97.0,2.55,2.3205338874931356,2.5402669329202365,0.019985486150807533
98.0,2.55,2.3195145511665975,2.5401727769589906,0.01998535404580124
99.0,2.55,2.318501389357105,2.540078677015153,0.019985222079663557
100.0,2.55,2.3174942871669466,2.539984632525207,0.019985090251207076
